################################### GEN CYTB ####################################

* AICc MODEL SELECTION : Selection uncertainty
 
Model             -lnL    K     AICc       delta       weight   cumWeight
TPM1+I      10216.61794   41  20520.219961  494.271320   3.36e-108   1.000000 
K80         10219.19083   39  20520.883825  494.935184   2.41e-108   1.000000 
TPM1        10218.08906   40  20520.918004  494.969364   2.37e-108   1.000000 
TPM2        10219.12912   40  20522.998124  497.049484   8.38e-109   1.000000 
F81+I       10321.76405   42  20732.762883  706.814242   2.36e-154   1.000000 
F81         10324.02723   41  20735.038541  709.089900   7.57e-155   1.000000 
JC+I        10356.72717   39  20795.956505  770.007864   4.48e-168   1.000000 
JC          10360.61397   38  20801.498833  775.550192   2.80e-169   1.000000

#######################  MORFOLOGIA ##################################

ModelFinder will test 22 morphological models (sample size: 10) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  MK+FQ         120.783      29  299.566      2039.566     308.341
  2  MK+FQ+ASC     120.685      29  299.369      2039.369     308.144
  3  MK+FQ+G4      120.746      30  301.491      2161.491     310.569
  4  MK+FQ+ASC+G4  120.594      30  301.188      2161.188     310.266
  5  MK+FQ+R2      120.664      31  303.328      2287.328     312.708
  6  MK+FQ+R3      120.581      33  307.161      2551.161     317.147
 14  MK+FQ+ASC+R2  120.259      31  302.519      2286.519     311.899
 15  MK+FQ+ASC+R3  120.258      33  306.516      2550.516     316.501
Akaike Information Criterion:           MK+FQ+ASC
Corrected Akaike Information Criterion: MK+FQ+ASC
Bayesian Information Criterion:         MK+FQ+ASC
Best-fit model: MK+FQ+ASC chosen according to BIC
